property_type,society,sector,price,price_per_sqft,area,areaWithType,bedRoom,bathroom,balcony,floorNum,facing,agePossession,super_built_up_area,built_up_area,carpet_area,Study room,Servant room,Store room,pooja room,others,furnishing_type,luxury_score,area_room_ratio
flat,maa bhagwati residency,sector 7,0.45,5000.0,900.0,Carpet area: 900 (83.61 sq.m.),2,2,1,4.0,West,Relatively New,,,900.0,0,0,0,0,0,0,28,450.0
flat,apna enclave,sector 3,0.5,7692.0,650.0,Carpet area: 650 (60.39 sq.m.),2,2,1,1.0,West,Undefined,,,650.0,0,0,0,0,0,2,37,325.0
flat,tulsiani easy in homes,sohna road,0.4,6722.0,595.1,Carpet area: 595 (55.28 sq.m.),2,2,3,12.0,,Undefined,,,595.0,0,0,0,0,0,0,36,297.55
flat,smart world orchard,sector 61,1.47,12250.0,1200.0,Carpet area: 1200 (111.48 sq.m.),2,2,2,2.0,,Undefined,,,1200.0,1,0,0,0,0,0,76,600.0
flat,parkwood westend,sector 92,0.7,5204.0,1345.1,Super Built up area 1345(124.95 sq.m.),2,2,3,5.0,,Under Construction,1345.0,,,1,0,0,0,0,0,0,672.55
flat,signature global infinity mall,sector 36,0.41,6269.0,654.0,Built Up area: 654 (60.76 sq.m.),2,2,3,3.0,,Undefined,,654.0,,0,0,0,0,0,0,0,327.0
flat,the cocoon,dwarka expressway,2.0,13333.0,1500.0,Super Built up area 1500(139.35 sq.m.),3,3,3,5.0,,Undefined,1500.0,,,0,0,0,0,0,0,0,500.0
flat,ats triumph,sector 104,1.8,7860.0,2290.1,Carpet area: 2290 (212.75 sq.m.),3,4,3,14.0,,Undefined,,,2290.0,0,0,0,0,0,0,60,763.3666666666667
flat,vatika xpressions,sector 88b,1.1,8148.0,1350.0,Built Up area: 1350 (125.42 sq.m.)Carpet area: 1050 sq.ft. (97.55 sq.m.),2,4,3+,2.0,North-East,Under Construction,,1350.0,1050.0,1,0,0,0,0,0,58,675.0
flat,raheja revanta,sector 78,4.75,16885.0,2813.1,Built Up area: 2813 (261.34 sq.m.),3,3,2,31.0,,Undefined,,2813.0,,0,1,0,0,0,0,100,937.6999999999999
flat,signature global city 81,sector 81,0.96,9767.0,982.9,Carpet area: 1075 (99.87 sq.m.),2,2,2,1.0,,Undefined,,,1075.0,0,0,0,0,0,0,49,491.45
flat,hcbs sports ville,sohna road,0.29,5587.0,519.1,Carpet area: 519 (48.22 sq.m.),2,2,1,4.0,,Relatively New,,,519.0,0,0,0,0,0,0,44,259.55
flat,supertech araville,sector 79,1.35,6940.0,1945.2,Carpet area: 1945 (180.7 sq.m.),3,3,3,4.0,,Relatively New,,,1945.0,0,0,0,0,0,0,0,648.4
flat,godrej,sector 33,0.95,6859.0,1385.0,Super Built up area 1385(128.67 sq.m.),2,2,3+,3.0,South-East,Under Construction,1385.0,,,0,0,0,0,0,0,0,692.5
flat,shree vardhman flora,sector 90,0.7,5384.0,1300.1,Super Built up area 1300(120.77 sq.m.),2,2,3,13.0,,Undefined,1300.0,,,1,0,0,0,0,0,15,650.05
flat,sobha city,sector 108,3.95,16859.0,2343.0,Built Up area: 2343 (217.67 sq.m.)Carpet area: 2300 sq.ft. (213.68 sq.m.),4,5,3,25.0,,Undefined,,2343.0,2300.0,0,0,0,0,0,0,59,585.75
flat,senate court,sector 62,0.9,14085.0,639.0,Built Up area: 639 (59.37 sq.m.),1,1,0,0.0,,Undefined,,639.0,,0,0,0,0,0,0,0,639.0
flat,shapoorji pallonji joyville gurugram,sector 102,1.05,11475.0,915.0,Carpet area: 915 (85.01 sq.m.),2,2,2,0.0,,Undefined,,,915.0,0,0,0,0,0,0,49,457.5
flat,central park flower valley,sector 33,2.2,10476.0,2100.0,Super Built up area 2100(195.1 sq.m.),3,3,3,12.0,North-East,Undefined,2100.0,,,0,1,0,0,0,2,49,700.0
flat,smart world gems,sector 89,1.01,9156.0,1103.1,Carpet area: 1103 (102.47 sq.m.),2,2,2,4.0,,Undefined,,,1103.0,1,0,0,0,0,0,38,551.55
flat,bestech altura,sector 79,1.85,8604.0,2150.2,Super Built up area 2150(199.74 sq.m.),3,4,3+,11.0,North,Undefined,2150.0,,,0,1,0,0,0,0,49,716.7333333333332
flat,smart world gems,sector 89,0.86,7796.0,1103.1,Super Built up area 1103(102.47 sq.m.),2,3,3,4.0,,Under Construction,1103.0,,,0,0,0,0,0,0,45,551.55
flat,emaar imperial gardens,sector 102,1.85,9135.0,2025.2,Carpet area: 2025 (188.13 sq.m.),3,3,3+,0.0,South-West,Relatively New,,,2025.0,0,1,0,0,0,2,95,675.0666666666667
flat,la vida by tata housing,sector 113,2.85,12855.0,2217.0,Super Built up area 2217(205.97 sq.m.),3,3,3+,10.0,East,Undefined,2217.0,,,0,1,0,0,0,0,72,739.0
flat,the serenas,sector 36,0.42,7910.0,531.0,Carpet area: 531 (49.33 sq.m.),2,2,1,3.0,,Undefined,,,531.0,0,0,0,0,0,0,0,265.5
flat,m3m golfestate,sector 65,6.15,18331.0,3355.0,Built Up area: 3355 (311.69 sq.m.)Carpet area: 2200 sq.ft. (204.39 sq.m.),3,4,2,20.0,North-East,Undefined,,3355.0,2200.0,0,0,0,0,0,0,34,1118.3333333333333
flat,central park resort belgravia residences,sector 48,6.25,24300.0,2572.0,Carpet area: 2880 (267.56 sq.m.),3,5,3+,5.0,South-East,Moderately Old,,,2880.0,0,1,0,0,0,2,49,857.3333333333334
flat,apex builders,sector 37c,0.42,5600.0,750.0,Carpet area: 750 (69.68 sq.m.),2,2,2,4.0,North,Relatively New,,,750.0,0,0,0,0,0,0,42,375.0
flat,godrej habitat,sector 3,1.35,12784.0,1056.0,Built Up area: 1056 (98.11 sq.m.)Carpet area: 912 sq.ft. (84.73 sq.m.),2,2,0,4.0,North-East,Undefined,,1056.0,912.0,0,0,0,0,0,0,60,528.0
flat,ompee k s residency,new sector 2,1.6,2993.0,5346.0,Carpet area: 66 (55.18 sq.m.),2,2,2,1.0,,Relatively New,,,66.0,0,0,0,0,0,0,0,2673.0
flat,bhawna cghs,sector 43,3.25,10156.0,3200.1,Super Built up area 3200(297.29 sq.m.)Carpet area: 3000 sq.ft. (278.71 sq.m.),4,4,3+,12.0,,Moderately Old,3200.0,,3000.0,0,0,0,1,0,2,119,800.025
flat,adani aangan arcade,sector 88a,0.45,7194.0,625.5,Carpet area: 625.47 (58.11 sq.m.),2,2,1,8.0,,Undefined,,,625.490229,0,0,0,0,0,0,14,312.75
flat,sare green parc,sector 92,0.85,6538.0,1300.1,Built Up area: 1300 (120.77 sq.m.),3,2,2,20.0,,Undefined,,1300.0,,0,0,0,0,0,0,0,433.3666666666666
