property_type,sector,bedRoom,bathroom,balcony,agePossession,built_up_area,Servant room,Store room,furnishing_type,luxury_cat,floorNum_cat,price
0.0,86.0,2,2,1.0,2.0,810.0,0,0,0,0.0,2.0,0.45
0.0,41.0,2,2,1.0,2.0,585.0,0,0,2,0.0,1.0,0.5
0.0,118.0,2,2,3.0,2.0,535.5,0,0,0,0.0,0.0,0.4
0.0,76.0,2,2,2.0,1.0,1080.0,0,0,0,2.0,1.0,1.47
0.0,112.0,2,2,3.0,3.0,1479.5000000000002,0,0,0,0.0,2.0,0.7
0.0,47.0,2,2,3.0,2.0,654.0,0,0,0,0.0,2.0,0.41
0.0,3.0,3,3,3.0,3.0,1650.0000000000002,0,0,0,0.0,2.0,2.0
0.0,14.0,3,4,3.0,2.0,2061.0,0,0,0,2.0,0.0,1.8
0.0,107.0,2,4,4.0,3.0,1350.0,0,0,0,2.0,1.0,1.1
0.0,95.0,3,3,2.0,0.0,2813.0,1,0,0,1.0,0.0,4.75
0.0,99.0,2,2,2.0,2.0,967.5,0,0,0,0.0,1.0,0.96
0.0,118.0,2,2,1.0,2.0,467.1,0,0,0,0.0,2.0,0.29
0.0,96.0,3,3,3.0,2.0,1750.5,0,0,0,0.0,2.0,1.35
0.0,46.0,2,2,4.0,3.0,1523.5000000000002,0,0,0,0.0,2.0,0.95
0.0,110.0,2,2,3.0,2.0,1430.0000000000002,0,0,0,0.0,0.0,0.7
0.0,18.0,4,5,3.0,2.0,2343.0,0,0,0,2.0,0.0,3.95
0.0,77.0,1,1,0.0,2.0,639.0,0,0,0,0.0,1.0,0.9
0.0,12.0,2,2,2.0,2.0,823.5,0,0,0,0.0,1.0,1.05
0.0,46.0,3,3,3.0,2.0,2310.0,1,0,2,0.0,0.0,2.2
0.0,108.0,2,2,2.0,2.0,992.7,0,0,0,0.0,2.0,1.01
0.0,96.0,3,4,4.0,2.0,2365.0,1,0,0,0.0,0.0,1.85
0.0,108.0,2,3,3.0,3.0,1213.3000000000002,0,0,0,0.0,2.0,0.86
0.0,12.0,3,3,4.0,2.0,1822.5,1,0,2,2.0,1.0,1.85
0.0,25.0,3,3,4.0,2.0,2438.7000000000003,1,0,0,2.0,0.0,2.85
0.0,47.0,2,2,1.0,2.0,477.9,0,0,0,0.0,2.0,0.42
0.0,80.0,3,4,2.0,2.0,3355.0,0,0,0,0.0,0.0,6.15
0.0,61.0,3,5,4.0,0.0,2592.0,1,0,2,0.0,2.0,6.25
