property_type,society,sector,price,price_per_sqft,bedRoom,bathroom,balcony,floorNum,agePossession,built_up_area,Study room,Servant room,Store room,pooja room,others,furnishing_type,luxury_score
flat,maa bhagwati residency,sector 7,0.45,5000.0,2,2,1,4.0,Relatively New,810.0,0,0,0,0,0,0,28
flat,apna enclave,sector 3,0.5,7692.0,2,2,1,1.0,Relatively New,585.0,0,0,0,0,0,2,37
flat,tulsiani easy in homes,sohna road,0.4,6722.0,2,2,3,12.0,Relatively New,535.5,0,0,0,0,0,0,36
flat,smart world orchard,sector 61,1.47,12250.0,2,2,2,2.0,New Property,1080.0,1,0,0,0,0,0,76
flat,parkwood westend,sector 92,0.7,5204.0,2,2,3,5.0,Under Construction,1479.5000000000002,1,0,0,0,0,0,0
flat,signature global infinity mall,sector 36,0.41,6269.0,2,2,3,3.0,Relatively New,654.0,0,0,0,0,0,0,0
flat,the cocoon,dwarka expressway,2.0,13333.0,3,3,3,5.0,Under Construction,1650.0000000000002,0,0,0,0,0,0,0
flat,ats triumph,sector 104,1.8,7860.0,3,4,3,14.0,Relatively New,2061.0,0,0,0,0,0,0,60
flat,vatika xpressions,sector 88b,1.1,8148.0,2,4,3+,2.0,Under Construction,1350.0,1,0,0,0,0,0,58
flat,raheja revanta,sector 78,4.75,16885.0,3,3,2,31.0,Moderately Old,2813.0,0,1,0,0,0,0,100
flat,signature global city 81,sector 81,0.96,9767.0,2,2,2,1.0,Relatively New,967.5,0,0,0,0,0,0,49
flat,hcbs sports ville,sohna road,0.29,5587.0,2,2,1,4.0,Relatively New,467.1,0,0,0,0,0,0,44
flat,supertech araville,sector 79,1.35,6940.0,3,3,3,4.0,Relatively New,1750.5,0,0,0,0,0,0,0
flat,godrej,sector 33,0.95,6859.0,2,2,3+,3.0,Under Construction,1523.5000000000002,0,0,0,0,0,0,0
flat,shree vardhman flora,sector 90,0.7,5384.0,2,2,3,13.0,Relatively New,1430.0000000000002,1,0,0,0,0,0,15
flat,sobha city,sector 108,3.95,16859.0,4,5,3,25.0,Relatively New,2343.0,0,0,0,0,0,0,59
flat,senate court,sector 62,0.9,14084.0,1,1,0,0.0,Relatively New,639.0,0,0,0,0,0,0,0
flat,shapoorji pallonji joyville gurugram,sector 102,1.05,11475.0,2,2,2,0.0,Relatively New,823.5,0,0,0,0,0,0,49
flat,central park flower valley,sector 33,2.2,10476.0,3,3,3,12.0,Relatively New,2310.0,0,1,0,0,0,2,49
flat,smart world gems,sector 89,1.01,9156.0,2,2,2,4.0,Relatively New,992.7,1,0,0,0,0,0,38
flat,bestech altura,sector 79,1.85,8604.0,3,4,3+,11.0,Relatively New,2365.0,0,1,0,0,0,0,49
flat,smart world gems,sector 89,0.86,7796.0,2,3,3,4.0,Under Construction,1213.3000000000002,0,0,0,0,0,0,45
flat,emaar imperial gardens,sector 102,1.85,9135.0,3,3,3+,0.0,Relatively New,1822.5,0,1,0,0,0,2,95
flat,la vida by tata housing,sector 113,2.85,12855.0,3,3,3+,10.0,Relatively New,2438.7000000000003,0,1,0,0,0,0,72
flat,the serenas,sector 36,0.42,7910.0,2,2,1,3.0,Relatively New,477.90000000000003,0,0,0,0,0,0,0
flat,m3m golfestate,sector 65,6.15,18331.0,3,4,2,20.0,Relatively New,3355.0,0,0,0,0,0,0,34
flat,central park resort belgravia residences,sector 48,6.25,24300.0,3,5,3+,5.0,Moderately Old,2592.0,0,1,0,0,0,2,49
flat,apex builders,sector 37c,0.42,5600.0,2,2,2,4.0,Relatively New,675.0,0,0,0,0,0,0,42
flat,godrej habitat,sector 3,1.35,12784.0,2,2,0,4.0,Relatively New,1056.0,0,0,0,0,0,0,60
flat,ompee k s residency,new sector 2,1.6,26936.0,2,2,2,1.0,Relatively New,59.4,0,0,0,0,0,0,0
flat,bhawna cghs,sector 43,3.25,10156.0,4,4,3+,12.0,Moderately Old,3110.0,0,0,0,1,0,2,119
flat,adani aangan arcade,sector 88a,0.45,7194.0,2,2,1,8.0,Relatively New,562.9412061,0,0,0,0,0,0,14
flat,sare green parc,sector 92,0.85,6538.0,3,2,2,20.0,Relatively New,1300.0,0,0,0,0,0,0,0
flat,shree vardhman flora,sector 90,0.75,5769.0,2,2,3,8.0,Relatively New,1170.0,0,0,0,0,0,0,60
flat,supertech hues,sector 68,0.82,6950.0,2,2,3+,21.0,Under Construction,1298.0,0,0,0,0,1,0,72
flat,chintels paradiso,sector 109,1.8,8866.0,3,3,2,0.0,Moderately Old,1919.75,0,1,0,0,0,0,83
flat,breez global hill view,sohna road,0.3,5403.0,2,2,2,6.0,Relatively New,610.0,0,0,0,0,0,0,109
flat,ild greens,sector 37c,0.78,5714.0,2,2,3,1.0,Moderately Old,1068.1,0,0,0,0,0,2,103
flat,ansal sushant lok ci,sector 43,2.0,15151.0,3,3,2,1.0,Relatively New,1188.0,0,1,0,0,0,1,15
flat,ashiana mulberry,sohna road,0.74,6200.0,2,2,3+,12.0,Relatively New,1089.0,0,0,0,0,0,0,67
flat,godrej meridien,sector 106,3.2,16000.0,3,3,3+,6.0,Relatively New,1801.8,0,1,0,0,0,0,49
flat,mapsko casa bella,sector 82,1.3,6378.0,4,4,3+,1.0,Relatively New,2156.0,0,1,0,0,0,0,130
flat,pooja apartment,sector 3 phase 3 extension,0.25,3571.0,2,2,2,2.0,Relatively New,630.0,0,0,0,0,0,0,0
flat,signature global park,sohna road,0.95,7846.0,3,2,3+,1.0,Relatively New,1210.723472,0,0,0,0,0,0,46
flat,dlf new town heights,sector 90,1.99,7297.0,4,4,3+,9.0,Relatively New,2454.3,0,1,0,1,0,2,102
flat,paras dews,sector 106,1.05,7581.0,2,2,2,5.0,Relatively New,1246.5,0,0,0,0,0,0,97
flat,godrej air,sector 85,1.83,10005.0,3,3,3+,18.0,Relatively New,1646.1000000000001,0,0,0,0,0,0,110
